objectid,name,long,lat,factype,enrollment1920,numstudent,status,capacity19_20
354,Southwest Elementary School,-78.9233941055492,35.9289582466242,Elementary School,641,641,Closed,596
355,Jordan High School,-78.9640233303514,35.923687683574,High School,1878,1878,Closed,1810
356,Lowes Grove Middle School,-78.8909937413817,35.9042570291258,Middle School,695,695,Closed,774
357,Kestrel Heights School,-78.890664024128,35.8984100875595,Charter School,-1,NA, ,-1
358,Southpoint Academy,-78.9400191045178,35.8926010868754,Private School,-1,NA, ,-1
359,Parkwood Elementary School,-78.9061562826249,35.8913173438729,Elementary School,533,533,Closed,578
360,Global Montessori Academy,-78.8902507331448,35.8720577450464,Private School,-1,NA, ,-1
361,Immaculata Catholic School,-78.913710950927893,35.9979937635727,Private School,-1,NA, ,-1
362,Hillside High School,-78.9042095304416,35.9525674136509,High School,1758,1758,Closed,1535
363,Hillside New Tech High School,-78.9042095304416,35.9525674136509,High School,0,NA,Closed,0
364,W.G. Pearson Elementary School,-78.9079891895638,35.9576118018688,Elementary School,440,440,Closed,488
365,Spring Valley Elementary School,-78.8156416266176,35.9561130097055,Elementary School,626,626,Closed,542
366,Gift of Knowledge Academy,-78.8015102037362,35.9637984801209,Private School,-1,NA, ,-1
367,My Dynamic Academy,-78.7933045225052,35.9694525375132,Private School,-1,NA, ,-1
368,Lucas Middle School,-78.8867161962941,36.109301343521,Middle School,539,539,Closed,644
369,Voyager Academy High School,-78.893535811877,36.0468693287125,Charter School,-1,NA, ,-1
